"Network_id","N_plants","N_pollinators","N_total"
"Gessi_2011",19,30,49
"Gessi_2012",20,35,55
"Gessi_2013",29,32,61
"Gessi_2014",38,43,81
"Mt_Lesima_1",14,35,49
"Mt_Lesima_2",9,22,31
"UNIPD01 A",22,69,91
"UNIPD01 An",19,54,73
"UNIPD01 B",22,58,80
"UNIPD01 Bn",30,90,120
"UNIPD01 C",32,67,99
"UNIPD01 Cn",29,65,94
"UNIPD01 D",19,46,65
"UNIPD01 Dn",14,33,47
"UNIPD01 E",43,73,116
"UNIPD01 En",36,67,103
"UNIPD01 F",23,32,55
"UNIPD01 Fn",23,31,54
"UNIPD01 G",20,56,76
"UNIPD01 Gn",24,45,69
"UNIPD01 H",46,98,144
"UNIPD01 Hn",35,82,117
"UNIPD01 I",33,74,107
"UNIPD01 In",36,93,129
"UNIPD02 A",16,35,51
"UNIPD02 AA",20,24,44
"UNIPD02 AB",15,16,31
"UNIPD02 AC",21,23,44
"UNIPD02 AD",16,14,30
"UNIPD02 AE",19,35,54
"UNIPD02 AF",15,24,39
"UNIPD02 AG",25,54,79
"UNIPD02 AH",19,35,54
"UNIPD02 AI",12,16,28
"UNIPD02 AJ",12,31,43
"UNIPD02 AK",11,21,32
"UNIPD02 AL",27,39,66
"UNIPD02 AM",28,35,63
"UNIPD02 AN",11,20,31
"UNIPD02 AO",15,29,44
"UNIPD02 AP",10,18,28
"UNIPD02 AQ",14,24,38
"UNIPD02 AR",9,19,28
"UNIPD02 AS",12,22,34
"UNIPD02 AT",14,27,41
"UNIPD02 AU",8,10,18
"UNIPD02 AV",10,13,23
"UNIPD02 AW",5,30,35
"UNIPD02 AX",9,14,23
"UNIPD02 AZ",7,12,19
"UNIPD02 B",18,32,50
"UNIPD02 C",14,35,49
"UNIPD02 D",13,32,45
"UNIPD02 E",14,33,47
"UNIPD02 F",8,28,36
"UNIPD02 G",19,28,47
"UNIPD02 H",13,21,34
"UNIPD02 I",17,35,52
"UNIPD02 J",7,11,18
"UNIPD02 K",17,32,49
