"Study_id","train_layer","test_layer","threshold","TP","FN","TN","FP","specificity","precision","recall","f1_score","balanced_accuracy","mcc","mse","rmse"
"1_Bartomeus",1,1,0,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,0.1,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,0.2,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,0.3,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,0.4,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,0.5,5.86,1.14,2.78,4.22,0.397142857142857,0.582431679431679,0.837142857142857,0.683106920771007,0.617142857142857,0.274290949898777,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,0.6,4.22,2.78,4.3,2.7,0.614285714285714,0.61552886002886,0.602857142857143,0.597316990199343,0.608571428571429,0.225648712182826,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,0.7,3.1,3.9,5.92,1.08,0.845714285714286,0.758301587301587,0.442857142857143,0.547432442840606,0.644285714285714,0.323871031112928,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,0.8,2.86,4.14,6.36,0.64,0.908571428571429,0.829142857142857,0.408571428571429,0.535968679846231,0.658571428571429,0.370971883270308,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,0.9,2.26,4.74,6.46,0.54,0.922857142857143,0.834839650145773,0.322857142857143,0.457556216931217,0.622857142857143,0.317661188116589,2.73994178409877,1.55402576903714
"1_Bartomeus",1,1,1,0,7,7,0,1,NA,0,NA,0.5,NA,2.73994178409877,1.55402576903714
"1_Bartomeus",1,2,0,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,10.1406549471282,2.91398759046873
"1_Bartomeus",1,2,0.1,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,10.1406549471282,2.91398759046873
"1_Bartomeus",1,2,0.2,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,10.1406549471282,2.91398759046873
"1_Bartomeus",1,2,0.3,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,10.1406549471282,2.91398759046873
"1_Bartomeus",1,2,0.4,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,10.1406549471282,2.91398759046873
"1_Bartomeus",1,2,0.5,5.42,1.58,2.12,4.88,0.302857142857143,0.527249417249417,0.774285714285714,0.625190574475404,0.538571428571429,0.0819851399035459,10.1406549471282,2.91398759046873
