Study_id,NetworkA,NetworkB,intersection,union,jaccard
10_Vanbergen,FR_V02,FR_V03,2,108,0.018518518518518517
10_Vanbergen,FR_V02,FR_V08,4,159,0.025157232704402517
10_Vanbergen,FR_V02,FR_V09,3,78,0.038461538461538464
10_Vanbergen,FR_V02,FR_V13,0,109,0
10_Vanbergen,FR_V02,FR_V15,3,104,0.028846153846153848
10_Vanbergen,FR_V02,FR_V16,1,83,0.012048192771084338
10_Vanbergen,FR_V02,FR_V18,4,86,0.046511627906976744
10_Vanbergen,FR_V02,FR_VAU,0,204,0
10_Vanbergen,FR_V02,FR_VDI,1,158,0.006329113924050633
10_Vanbergen,FR_V02,FR_VNU,2,126,0.015873015873015872
10_Vanbergen,FR_V02,FR_VQU,2,118,0.01694915254237288
10_Vanbergen,FR_V03,FR_V08,5,212,0.02358490566037736
10_Vanbergen,FR_V03,FR_V09,1,134,0.007462686567164179
10_Vanbergen,FR_V03,FR_V13,2,161,0.012422360248447204
10_Vanbergen,FR_V03,FR_V15,3,158,0.0189873417721519
10_Vanbergen,FR_V03,FR_V16,4,134,0.029850746268656716
10_Vanbergen,FR_V03,FR_V18,2,142,0.014084507042253521
10_Vanbergen,FR_V03,FR_VAU,5,253,0.019762845849802372
10_Vanbergen,FR_V03,FR_VDI,0,213,0
10_Vanbergen,FR_V03,FR_VNU,2,180,0.011111111111111112
10_Vanbergen,FR_V03,FR_VQU,0,174,0
10_Vanbergen,FR_V08,FR_V09,2,186,0.010752688172043012
10_Vanbergen,FR_V08,FR_V13,4,212,0.018867924528301886
10_Vanbergen,FR_V08,FR_V15,3,211,0.014218009478672985
10_Vanbergen,FR_V08,FR_V16,7,184,0.03804347826086957
10_Vanbergen,FR_V08,FR_V18,11,186,0.05913978494623656
10_Vanbergen,FR_V08,FR_VAU,20,291,0.06872852233676977
10_Vanbergen,FR_V08,FR_VDI,10,256,0.0390625
10_Vanbergen,FR_V08,FR_VNU,10,225,0.044444444444444446
10_Vanbergen,FR_V08,FR_VQU,14,213,0.06572769953051644
10_Vanbergen,FR_V09,FR_V13,2,132,0.015151515151515152
10_Vanbergen,FR_V09,FR_V15,10,122,0.08196721311475409
10_Vanbergen,FR_V09,FR_V16,0,109,0
10_Vanbergen,FR_V09,FR_V18,4,111,0.036036036036036036
10_Vanbergen,FR_V09,FR_VAU,2,227,0.00881057268722467
10_Vanbergen,FR_V09,FR_VDI,2,182,0.01098901098901099
10_Vanbergen,FR_V09,FR_VNU,4,149,0.026845637583892617
10_Vanbergen,FR_V09,FR_VQU,3,142,0.02112676056338028
10_Vanbergen,FR_V13,FR_V15,5,155,0.03225806451612903
10_Vanbergen,FR_V13,FR_V16,4,133,0.03007518796992481
10_Vanbergen,FR_V13,FR_V18,8,135,0.05925925925925926
10_Vanbergen,FR_V13,FR_VAU,5,252,0.01984126984126984
10_Vanbergen,FR_V13,FR_VDI,10,202,0.04950495049504951
10_Vanbergen,FR_V13,FR_VNU,6,175,0.03428571428571429
10_Vanbergen,FR_V13,FR_VQU,6,167,0.03592814371257485
10_Vanbergen,FR_V15,FR_V16,2,133,0.015037593984962405
10_Vanbergen,FR_V15,FR_V18,10,131,0.07633587786259542
10_Vanbergen,FR_V15,FR_VAU,3,252,0.011904761904761904
10_Vanbergen,FR_V15,FR_VDI,0,210,0
10_Vanbergen,FR_V15,FR_VNU,3,176,0.017045454545454544
10_Vanbergen,FR_V15,FR_VQU,2,169,0.011834319526627219
10_Vanbergen,FR_V16,FR_V18,3,115,0.02608695652173913
10_Vanbergen,FR_V16,FR_VAU,2,230,0.008695652173913044
10_Vanbergen,FR_V16,FR_VDI,6,181,0.03314917127071823
10_Vanbergen,FR_V16,FR_VNU,1,155,0.0064516129032258064
10_Vanbergen,FR_V16,FR_VQU,2,146,0.0136986301369863
10_Vanbergen,FR_V18,FR_VAU,8,230,0.034782608695652174
10_Vanbergen,FR_V18,FR_VDI,4,189,0.021164021164021163
10_Vanbergen,FR_V18,FR_VNU,5,157,0.03184713375796178
10_Vanbergen,FR_V18,FR_VQU,8,146,0.0547945205479452
10_Vanbergen,FR_VAU,FR_VDI,17,290,0.05862068965517241
10_Vanbergen,FR_VAU,FR_VNU,24,252,0.09523809523809523
10_Vanbergen,FR_VAU,FR_VQU,29,239,0.12133891213389121
10_Vanbergen,FR_VDI,FR_VNU,14,217,0.06451612903225806
10_Vanbergen,FR_VDI,FR_VQU,19,204,0.09313725490196079
10_Vanbergen,FR_VNU,FR_VQU,20,172,0.11627906976744186
12_Ockinger,Bullerum_Og,Eke_Vidbo,1,39,0.02564102564102564
12_Ockinger,Bullerum_Og,Focksta_2,0,33,0
12_Ockinger,Bullerum_Og,Kramnas,0,33,0
12_Ockinger,Bullerum_Og,Laby,0,35,0
12_Ockinger,Bullerum_Og,Langalma_Oregrund,0,31,0
12_Ockinger,Bullerum_Og,Langholmsbryggan_Engso,0,36,0
12_Ockinger,Bullerum_Og,Malmberga_Havero,0,35,0
12_Ockinger,Bullerum_Og,Norrang_Ryckelsby_Og,0,53,0
12_Ockinger,Bullerum_Og,Sattra_Og,2,36,0.05555555555555555
12_Ockinger,Bullerum_Og,St_Tadinge,0,47,0
12_Ockinger,Bullerum_Og,Tjalinge_Skogstibble,0,47,0
12_Ockinger,Bullerum_Og,Tjarns_Hage,0,34,0
12_Ockinger,Eke_Vidbo,Focksta_2,1,36,0.027777777777777776
12_Ockinger,Eke_Vidbo,Kramnas,0,37,0
12_Ockinger,Eke_Vidbo,Laby,2,37,0.05405405405405406
12_Ockinger,Eke_Vidbo,Langalma_Oregrund,1,34,0.029411764705882353
12_Ockinger,Eke_Vidbo,Langholmsbryggan_Engso,0,40,0
12_Ockinger,Eke_Vidbo,Malmberga_Havero,0,39,0
